单价,建筑面积,总楼层数,室数,厅数,卫数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
17410.0,136.71,9,3,2,2,1,34,1,17,3,4,5,0,4,2,1,2380000.0
14430.0,54.75,5,1,1,1,1,26,0,17,2,0,5,0,4,2,0,790000.0
26239.0,143.3,12,3,1,2,5,9,2,20,3,5,5,0,4,0,1,3760000.0
15056.0,51.81,7,2,2,2,9,87,0,15,3,5,5,0,4,2,1,780000.0
10479.0,92.57,32,3,2,1,3,38,2,17,0,2,0,0,4,1,1,970000.0
14557.0,79.0,11,2,1,1,5,36,1,17,0,5,5,0,4,1,1,1150000.0
26255.0,60.18,28,1,1,1,8,8,0,17,3,0,5,0,4,2,0,1580000.0
14523.0,88.14,10,2,2,1,1,34,2,17,0,4,5,0,4,2,1,1280000.0
28250.0,87.08,33,3,1,1,8,1,1,17,3,4,5,0,4,2,1,2460000.0
22666.0,166.77,6,5,2,2,8,8,2,17,3,5,5,0,4,0,1,3780000.0
16560.0,138.89,6,3,2,2,1,45,2,17,1,5,4,0,4,0,0,2300000.0
22225.0,111.59,11,3,2,1,6,70,2,17,3,5,5,0,4,2,0,2480000.0
29253.0,117.94,18,3,2,2,8,17,1,17,3,5,5,0,4,2,1,3450000.0
15371.0,101.49,15,2,2,1,5,60,0,17,1,5,5,0,4,0,1,1560000.0
35990.0,119.2,18,3,2,2,8,8,1,17,3,5,5,0,4,2,1,4290000.0
22852.0,76.58,13,2,2,1,6,70,2,17,3,5,5,2,4,2,0,1750000.0
40474.0,108.22,26,3,2,2,8,47,2,17,0,4,5,0,4,2,0,4380000.0
19472.0,60.6,7,3,1,1,6,56,2,17,3,5,2,0,4,0,1,1180000.0
15088.0,103.4,18,3,2,1,3,24,0,17,3,5,5,0,4,2,0,1560000.0
13966.0,110.99,9,4,2,2,2,28,2,17,3,5,5,0,4,1,1,1550000.0
15488.0,106.54,6,3,2,2,6,59,0,17,1,4,5,0,4,1,1,1650000.0
9513.0,113.53,4,4,2,3,4,51,0,20,1,3,5,0,0,3,1,1080000.0
8081.0,100.86,33,3,2,1,4,51,1,17,3,5,5,0,4,2,1,815000.0
33356.0,45.27,8,2,1,1,6,27,0,17,0,5,2,0,4,0,0,1510000.0
18291.0,120.28,27,4,2,2,1,34,2,17,3,2,0,0,4,1,0,2200000.0
30174.0,132.5,18,3,1,2,8,8,0,17,3,0,6,0,4,2,1,3998000.0
15787.0,91.85,11,3,2,1,8,11,2,17,1,2,0,2,4,1,1,1450000.0
15020.0,186.42,5,5,2,2,0,83,0,17,3,5,5,0,4,0,1,2800000.0
18334.0,106.91,10,3,2,1,5,37,2,17,3,4,5,0,4,1,0,1960000.0
22270.0,108.22,17,3,1,1,1,26,1,17,3,2,5,0,4,2,1,2410000.0
8880.0,135.14,5,3,2,2,6,80,2,17,1,5,0,0,4,1,1,1200000.0
21941.0,75.66,7,3,1,1,6,70,1,17,3,5,5,0,4,0,1,1660000.0
28819.0,107.57,8,3,2,1,8,68,2,17,0,5,4,0,4,0,1,3100000.0
23072.0,73.25,6,2,1,1,8,61,2,20,3,5,4,0,4,2,1,1690000.0
16318.0,60.06,15,2,2,2,8,61,0,25,3,4,5,0,2,2,1,980000.0
23139.0,95.08,11,2,1,1,8,17,1,17,3,4,5,0,4,2,1,2200000.0
21347.0,119.46,6,3,1,2,6,50,1,17,2,5,4,0,4,1,1,2550000.0
16931.0,128.76,7,4,2,2,6,56,2,17,3,5,5,0,4,0,1,2180000.0
25403.0,57.08,7,2,1,1,8,89,0,20,2,2,5,0,4,0,0,1450000.0
32747.0,72.68,9,3,2,2,8,81,2,17,3,5,5,0,4,2,0,2380000.0
23862.0,101.42,27,3,2,1,8,1,0,17,3,5,5,0,4,2,0,2420000.0
19908.0,79.87,17,2,1,1,6,56,1,17,1,2,0,2,4,1,0,1590000.0
18111.0,88.9,33,3,2,1,9,87,0,17,2,0,5,0,4,2,1,1610000.0
26039.0,80.65,7,3,1,1,8,71,0,17,3,5,5,0,4,0,1,2100000.0
20913.0,153.02,6,4,2,2,8,8,2,17,3,4,2,0,4,0,0,3200000.0
25409.0,78.32,6,3,2,1,6,76,1,17,0,5,5,0,4,1,1,1990000.0
23227.0,102.9,15,3,2,2,6,84,1,17,3,2,0,0,4,1,1,2390000.0
21296.0,77.48,14,2,2,1,6,56,2,17,3,4,5,0,4,2,0,1650000.0
21503.0,84.64,15,2,2,1,6,70,1,17,3,5,5,2,4,2,1,1820000.0
21037.0,116.94,11,3,2,2,8,61,2,17,0,5,5,0,4,2,1,2460000.0
8483.0,88.42,27,3,2,1,4,51,1,20,3,0,5,0,4,2,1,750000.0
32269.0,89.25,26,3,1,1,8,17,1,17,3,5,5,0,4,2,1,2880000.0
11669.0,71.99,34,2,1,1,8,44,0,13,3,5,5,0,2,2,1,840000.0
25157.0,131.18,17,3,2,1,8,47,0,20,0,4,5,0,4,2,0,3300000.0
23232.0,58.11,18,2,1,1,8,86,2,17,0,4,5,2,4,2,1,1350000.0
7872.0,83.85,18,2,1,1,3,41,0,17,3,0,5,0,2,2,1,660000.0
18510.0,39.44,11,1,1,1,5,36,0,17,3,5,5,0,2,2,1,730000.0
31211.0,96.12,19,3,2,2,5,57,0,19,0,4,5,0,4,1,1,3000000.0
8028.0,47.21,18,1,1,1,8,86,0,15,3,4,5,0,4,2,1,379000.0
33969.0,111.28,17,3,2,2,8,86,1,17,3,4,5,0,4,2,1,3780000.0
17580.0,127.99,11,3,2,2,6,55,2,17,1,5,5,0,4,1,1,2250000.0
19112.0,93.66,15,3,2,1,6,84,0,17,3,5,5,0,4,2,1,1790000.0
10371.0,131.14,7,4,2,2,4,51,0,17,1,2,0,0,4,1,1,1360000.0
25124.0,80.76,18,2,2,1,8,61,2,17,3,4,5,0,4,2,0,2029000.0
19938.0,76.24,18,2,2,1,6,56,1,17,1,4,5,2,4,2,1,1520000.0
19643.0,67.2,11,2,2,1,5,60,2,25,3,5,2,0,4,2,1,1320000.0
21515.0,99.7,12,3,2,2,5,60,2,20,3,5,5,0,4,0,1,2145000.0
19895.0,70.27,5,2,2,1,1,26,0,17,0,4,1,0,4,0,1,1398000.0
26906.0,129.34,32,3,2,2,8,61,2,7,1,4,5,0,4,2,1,3480000.0
29984.0,123.4,8,3,2,2,6,50,0,17,2,4,5,0,4,0,1,3700000.0
19689.0,90.41,14,2,2,1,5,60,1,17,3,5,5,0,4,2,1,1780000.0
28268.0,106.06,20,3,2,2,9,35,2,17,3,5,5,0,4,1,1,2998000.0
42773.0,123.91,18,3,2,2,8,8,1,13,0,5,5,0,4,2,1,5300000.0
32502.0,140.3,7,4,2,2,8,8,1,17,2,5,4,0,4,0,1,4560000.0
21837.0,76.02,11,2,1,1,8,61,1,17,0,5,5,0,4,2,1,1660000.0
